"crop","sum","fertilizer","candidate_name","party","evm_votes"
"Small millets","1961","192511.37","CHINTHALACHERUVU HEMALATHA","Jai Maha Bharath Party",239
"Gram","91","9293.83","E ANIL KUMAR","Independent",1332
"Gram","91","9293.83","YAMPATI VEERANJANEYA REDDY","Independent",1056
"Gram","100","9817","U.C.VENKATASUBBAIAH","Jaathia Chethi Vruthula Ikya Vedika Party",2533
"Sweet potato","1938","190253.46","METTA RAMA RAO","Independent",320
"Gram","91","9293.83","SAMUDRALA CHINNA KOTAIAH","Jaibhim Rao Bharat Party",1748
"Gram","100","9817","PARRE. KOTAIAH","Jaibhim Rao Bharat Party",408
"Small millets","1961","192511.37","DEVARASETTY RAVEENDRA BABU","Andhra Rastra Praja Samithi",328
"Arecanut","262","25720.54","BHAGYA R S","Bahujan Samaj Party",7949
"Arecanut","268","27370.84","BYRABOYINA MALYADRI","Bharatha Chaitanya Yuvajana Party",705
"Small millets","1961","192511.37","DASAGANIPALLI KULLAYAPPA","Independent",1317
"Gram","91","9293.83","PRASANNA KUMAR UNDURTHI","Independent",6350
"Arecanut","262","25720.54","PRASANNA KUMAR UNDURTHI","Independent",6350
"Sweet potato","1938","190253.46","DR. THUMMAPALA HARI  SHANKAR","Independent",1567
"Sweet potato","1938","190253.46","BATTHALA RAMANAIAH","Jai Bharat National Party",1360
"Sweet potato","1938","190253.46","MOHAN GOUD J V","Independent",1442
"Gram","91","9293.83","SIMHADRI CHANDRA SEKHAR RAO","Yuvajana Sramika Rythu Congress Party",495211
"Sweet potato","1938","190253.46","JALADI VIJAYA KUMARI","Samajwadi Party",463
"Arecanut","262","25720.54","DATLA LURTHU MERI","Jaibhim Rao Bharat Party",409
"Arecanut","262","25720.54","DR BYREDDY SHABARI","Telugu Desam",689417
"Sweet potato","1938","190253.46","PEERUBANDI PRAKASH RAO","Bahujan Samaj Party",7985
"Gram","100","9817","SIVAREDDY. ENDREDDY","Navataram Party",5628
"Small millets","1961","192511.37","PANDITI. GURAPPA.","Bahujan Samaj Party",3790
"Sweet potato","1938","190253.46","G.A.N. ANAND","Independent",543
"Gram","91","9293.83","APPALANAIDU TUMMAGUNTA","Independent",1055
"Sweet potato","1938","190253.46","BOKINALA KOTESWARA RAO","Independent",2253
"Gram","100","9817","CHINTHALACHERUVU HEMALATHA","Jai Maha Bharath Party",239
"Arecanut","268","27370.84","SAMUDRALA CHINNA KOTAIAH","Jaibhim Rao Bharat Party",1748
"Sweet potato","1938","190253.46","D.MAHESH","Independent",1109
"Gram","100","9817","NAGARAJU JETTI","Independent",5984
"Gram","91","9293.83","PULI SREENIVASULU","Independent",4613
"Gram","100","9817","J.D. SEELAM","Indian National Congress",41673
"Arecanut","268","27370.84","KATTA HEMANAND","Independent",547
"Gram","100","9817","P.MADHU","Independent",902
"Small millets","1961","192511.37","BUDI MUTYALA NAIDU","Yuvajana Sramika Rythu Congress Party",459762
"Arecanut","268","27370.84","LOKANATH GOWD SURAGOWINI","Independent",1085
"Small millets","1961","192511.37","GANESWARA RAO PARAMATA","Bahujan Samaj Party",20277
"Arecanut","262","25720.54","B A SAMAD SHAHEEN","Indian National Congress",53989
"Gram","91","9293.83","P. SATYA REDDY","Indian National Congress",29430
"Gram","91","9293.83","PRAKASH REDDY RALAMPADU","Independent",2222
"Gram","91","9293.83","RUDRAPAKA RATNA RAO (R.R.R)","Andhra Rastra Praja Samithi",1523
"Arecanut","262","25720.54","ADINARAYANA TADDI","Independent",855
"Gram","91","9293.83","JHANSI LAKSHMI. BOTCHA.","Yuvajana Sramika Rythu Congress Party",397821
"Arecanut","268","27370.84","APPALANAIDU TUMMAGUNTA","Independent",1055
"Gram","100","9817","NALLARI KIRAN KUMAR REDDY","Bharatiya Janata Party",557030
"Gram","100","9817","SHANKAR DEVARA YADAV","Independent",656
"Sweet potato","1938","190253.46","ANKIREDDY. SURESH KUMAR REDDY.","All India Forward Bloc",752
"Small millets","1961","192511.37","VIJAYA LAKSHMI KARRI","Pyramid Party of India",1578
"Arecanut","268","27370.84","P GURUVAIAH","Independent",8190
"Arecanut","268","27370.84","N.GANGAIAH .","Independent",547
"Small millets","1961","192511.37","SALOPANTULA RAGHAVENDRA RAO","Independent",3261
"Gram","100","9817","MARISERLA KRISHNAMURTHY NAIDU","Independent",1617
"Sweet potato","1938","190253.46","NAKKA DINESH","Bharatha Chaitanya Yuvajana Party",576
"Gram","91","9293.83","KONDRU KIRAN KUMAR","Independent",791
"Small millets","1961","192511.37","JANGALA AJAY KUMAR","Communist Party of India",8317
"Arecanut","262","25720.54","NEELAKANTAM DONAM","Independent",1401
"Sweet potato","1938","190253.46","REDDEPPA.N .","Yuvajana Sramika Rythu Congress Party",552469
"Sweet potato","1938","190253.46","GAJULA SOMA SEKHAR","Jai Bharat National Party",1775
"Gram","91","9293.83","G M HARISH (BALAYOGI)","Telugu Desam",786149
"Gram","91","9293.83","VADLA KESAVAIAH","Independent",1488
"Gram","100","9817","VADDI. HARI GANESH","Independent",518
"Arecanut","268","27370.84","MERUGUPALA SADASIVA RAO","India Praja Bandhu Party",669
"Arecanut","262","25720.54","BONTHA RANGA REDDY","Independent",1923
"Sweet potato","1938","190253.46","BHAGYA R S","Bahujan Samaj Party",7949
"Small millets","1961","192511.37","BUCHI EDUKONDALU","Independent",3046
"Gram","91","9293.83","TANGELLA UDAY SRINIVAS  (TEA TIME UDAY)","Janasena Party",718971
"Gram","91","9293.83","PARRE. KOTAIAH","Jaibhim Rao Bharat Party",408
"Small millets","1961","192511.37","NOTA","None of the Above",13418
"Arecanut","268","27370.84","BUSSA. NAGARAJU","Independent",1311
"Arecanut","268","27370.84","TANGELLA SRINIVASU","Jatiya Jana Sena Party",6516
"Arecanut","268","27370.84","BUSHAKU MAHESWARA REDDY","Independent",390
"Gram","100","9817","PAGADALA KODANDA","Independent",3070
"Arecanut","268","27370.84","SHAIK. KHAJAVALI","Independent",387
"Arecanut","262","25720.54","ABBAVARAM UGENDRA","Bahujan Samaj Party",12306
"Sweet potato","1938","190253.46","GANAPATHI. JAGADEESWARA RAO (JAGADEESH)","Jai Maha Bharath Party",494
"Arecanut","268","27370.84","ARUNA SRI MURALA","Independent",1991
"Arecanut","268","27370.84","BALIJA SHIVA KUMAR","Independent",288
"Small millets","1961","192511.37","KATRU NAGA BABU","Telugu Nava Garjana Party",3736
"Sweet potato","1938","190253.46","MANCHALA LAKSHMI NARAYANA","Bahujan Samaj Party",8533
"Sweet potato","1938","190253.46","DR CHANDRA SEKHAR PEMMASANI","Telugu Desam",851020
"Sweet potato","1938","190253.46","J LAKSHMI NARASIMHA YADAV","Indian National Congress",54920
"Arecanut","262","25720.54","DR. RAYAPUDI RAJESH VIJAY KUMAR","Indian Labour Party (Ambedkar Phule)",306
"Arecanut","268","27370.84","DEVAMANI DEVARAPALLI","Bahujan Samaj Party",9911
"Sweet potato","1938","190253.46","BAAL SHOURI CHODABATHINA","Jatiya Jana Sena Party",10518
"Gram","91","9293.83","SREENIVASULU MARRIPATI","Independent",4436
"Arecanut","262","25720.54","VADDI LALITH KUMAR","Independent",2974
"Small millets","1961","192511.37","NEELAKANTAM DONAM","Independent",1401
"Sweet potato","1938","190253.46","MALLEPALLY RAGHU","Navarang Congress Party",1104
"Arecanut","262","25720.54","KATTA HEMANAND","Independent",547
"Arecanut","268","27370.84","BALASHOWRY VALLABHANENI","Janasena Party",712149
"Small millets","1961","192511.37","BOBBILI SRINU","Indian National Congress",10270
"Sweet potato","1938","190253.46","KAYA DURGARAO","Navarang Congress Party",811
"Arecanut","262","25720.54","MADAVARAPU NAGA RAJU","Independent",172
"Arecanut","268","27370.84","PRAKASH REDDY RALAMPADU","Independent",2222
"Gram","91","9293.83","MALLIPUDI MANGAPATI PALLAM RAJU","Indian National Congress",20258
"Gram","91","9293.83","ABDUL SATTAR  A.S.R","Anna YSR Congress Party",1565
"Gram","91","9293.83","PALLIPATTU.ABHINAV VISHNU","Samajwadi Party",670
"Gram","100","9817","YARRA DASARADHARAMAIAH","Independent",394
"Arecanut","262","25720.54","DEVIREDDY BALANJANEYULU","Independent",710
"Arecanut","262","25720.54","JALLI BALA NAVEENA","Independent",1250
"Sweet potato","1938","190253.46","PRASAD PATIBANDLA","Independent",607
"Small millets","1961","192511.37","BHAVANI SANKAR PRASAD MERLA","Independent",1963
"Gram","100","9817","SHAIK SHAFI AHMED","All India Forward Bloc",1037
"Gram","100","9817","BURAGA RATNAM","Loktantrik Janta Dal",304
"Small millets","1961","192511.37","VASUPILLI SURESH","Independent",1931
"Arecanut","262","25720.54","TARIGOPULA RAJABABU","All Peoples Party",1032
"Sweet potato","1938","190253.46","GARLAPATI SUBHASH PREM","Revolutionary Socialist Party",1243
"Gram","100","9817","V MADHUSUDHANA REDDY","Independent",399
"Arecanut","268","27370.84","MALIKIREDDY. HANUMANTHA REDDY","Jana Sahayaka Sakthi",358
"Gram","91","9293.83","KOTA POTHURAJU","Pyramid Party of India",667
"Small millets","1961","192511.37","ANUSHA YERUVA","Independent",1233
"Arecanut","262","25720.54","G.V.RAMANA REDDY","Independent",6436
"Gram","100","9817","URUKUNDU VADDE","Independent",1284
"Sweet potato","1938","190253.46","PILLI BABU RAO","Independent",688
"Sweet potato","1938","190253.46","KOTHAPALLI GEETHA","Bharatiya Janata Party",417113
"Arecanut","268","27370.84","BELLAMKONDA SREENIVASULU","Independent",352
"Small millets","1961","192511.37","BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA)","Bharatiya Janata Party",699382
"Sweet potato","1938","190253.46","MANNE LEELA RAMA NARENDRA","Pyramid Party of India",922
"Arecanut","268","27370.84","NOTA","None of the Above",23097
"Gram","100","9817","KOMMUSANI PEDDA KAMBAGIRI SWAMY","Independent",4633
"Arecanut","268","27370.84","CHADIPIRALLA BHUPESH SUBBARAMI REDDY","Telugu Desam",532358
"Gram","100","9817","BOKINALA KOTESWARA RAO","Independent",2253
"Arecanut","262","25720.54","SONDI KRISHNA.","Independent",1811
"Sweet potato","1938","190253.46","MAGUNTA SREENIVASULU REDDY","Telugu Desam",689829
"Arecanut","262","25720.54","DOKKA JAGAN MOHANA RAO","Bahujan Samaj Party",6774
"Gram","100","9817","BOBBILI SRINU","Indian National Congress",10270
"Sweet potato","1938","190253.46","BUCHI EDUKONDALU","Independent",3046
"Gram","100","9817","SIKHAKOLLI HEMA GOWRI SHANKAR","Jatiya Jana Sena Party",1959
"Gram","91","9293.83","P V MIDHUN REDDY","Yuvajana Sramika Rythu Congress Party",639111
"Arecanut","262","25720.54","BATTULA BALARAMAKRISHNA","Navarang Congress Party",16930
"Gram","100","9817","DASARI. GOWTHAM","Independent",1077
"Arecanut","268","27370.84","VIJAYA BHASKAR .REDDYPOGU","Independent",3504
"Sweet potato","1938","190253.46","RAMBABU JALLI","Telugu Rajadhikara Samiti Party",4933
"Gram","100","9817","DR. ACHUTHA BALAJI YADAV (MURAPALA)","Bharatha Chaitanya Yuvajana Party",628
"Arecanut","268","27370.84","VADDI LALITH KUMAR","Independent",2974
"Sweet potato","1938","190253.46","DASAGANIPALLI KULLAYAPPA","Independent",1317
"Arecanut","262","25720.54","SAKHINETI ANANTHA RAJU","Pyramid Party of India",715
"Arecanut","268","27370.84","NOTA","None of the Above",9038
"Gram","91","9293.83","EMANI. CHANDRASEKHAR RAO","Navodayam Party",409
"Sweet potato","1938","190253.46","DOCTOR GODA RAMESH KUMAR","Jatiya Jana Sena Party",305
"Gram","100","9817","AKUMALLA MALLIKARJUNA REDDY","Independent",575
"Arecanut","262","25720.54","CHALLAPALLI RATAN RAJU","Viduthalai Chiruthaigal Katchi",374
"Arecanut","262","25720.54","DODDAPANENI RAJA NAIDU","Independent",1315
"Arecanut","262","25720.54","BUGATHA BANGARRAO","Communist Party of India  (Marxist1000Leninist)  (Liberation)",2816
"Sweet potato","1938","190253.46","BHARGAV VALLURU","Indian National Congress",23498
"Sweet potato","1938","190253.46","SREERANGARAJULA GOPINATH ROYAL","Independent",903
"Gram","100","9817","SRIBHARAT MATHUKUMILI","Telugu Desam",893884
"Gram","91","9293.83","L. KHAJA HUSSAIN","Independent",1087
"Gram","91","9293.83","GARNEPUDI ALEXANDER SUDHAKAR","Indian National Congress",17520
"Small millets","1961","192511.37","MADASI SUDHARSHAN","Independent",1575
"Arecanut","268","27370.84","NOTA","None of the Above",11812
"Gram","100","9817","NOTA","None of the Above",16660
"Small millets","1961","192511.37","SINGAMNENI SREEKANTH","Independent",407
"Sweet potato","1938","190253.46","ADINARAYANA TADDI","Independent",855
"Gram","100","9817","KOTHAPALLI GEETHA","Bharatiya Janata Party",417113
"Sweet potato","1938","190253.46","P GURUVAIAH","Independent",8190
"Gram","91","9293.83","KARATAPU RAJU","Independent",730
"Sweet potato","1938","190253.46","SAMUDRALA CHINNA KOTAIAH","Jaibhim Rao Bharat Party",1748
"Arecanut","262","25720.54","SRIBHARAT MATHUKUMILI","Telugu Desam",893884
"Arecanut","268","27370.84","APPALA RAJU NAMMI","Bharatha Chaitanya Yuvajana Party",2589
"Small millets","1961","192511.37","PALLE RAMESH","Jaibhim Rao Bharat Party",619
"Gram","91","9293.83","DHARANIKOTA LAKSHMI NARAYANA","Bahujan Samaj Party",6238
"Sweet potato","1938","190253.46","VIVEKA MANNEPALLI","Revolutionary Socialist Party",2794
"Arecanut","262","25720.54","VUYAKA NIREEKSHAN  (V. CHENCHU)","India Praja Bandhu Party",4500
"Arecanut","262","25720.54","CHINTADA SURYAM","Naba Bharata Nirmana Seva Party",443
"Small millets","1961","192511.37","NOTA","None of the Above",22371
"Sweet potato","1938","190253.46","GANJI PURNIMA","Republican Party of India (A)",1645
"Gram","100","9817","A CHINNA MOULALI","Bahujan Samaj Party",7768
