Date,State_Id,TotalSamples,Negative,Positive
03-09-2020,Andaman and Nicobar Islands,37075,0,3223
04-09-2020,Andaman and Nicobar Islands,37825,0,3257
05-09-2020,Andaman and Nicobar Islands,38574,0,3292
06-09-2020,Andaman and Nicobar Islands,39205,0,3332
07-09-2020,Andaman and Nicobar Islands,39995,0,3359
08-09-2020,Andaman and Nicobar Islands,41039,0,3392
09-09-2020,Andaman and Nicobar Islands,41776,0,3426
10-09-2020,Andaman and Nicobar Islands,42792,0,3465
11-09-2020,Andaman and Nicobar Islands,43680,0,3494
12-09-2020,Andaman and Nicobar Islands,44570,0,3521
13-09-2020,Andaman and Nicobar Islands,45279,0,3546
14-09-2020,Andaman and Nicobar Islands,45987,0,3557
15-09-2020,Andaman and Nicobar Islands,46823,0,3574
16-09-2020,Andaman and Nicobar Islands,47794,0,3593
17-09-2020,Andaman and Nicobar Islands,48861,0,3604
18-09-2020,Andaman and Nicobar Islands,50035,0,3631
19-09-2020,Andaman and Nicobar Islands,50681,0,3644
20-09-2020,Andaman and Nicobar Islands,51262,0,3651
21-09-2020,Andaman and Nicobar Islands,52220,0,3673
22-09-2020,Andaman and Nicobar Islands,52845,0,3691
23-09-2020,Andaman and Nicobar Islands,53591,0,3712
24-09-2020,Andaman and Nicobar Islands,52992,0,3744
25-09-2020,Andaman and Nicobar Islands,55169,0,3759
26-09-2020,Andaman and Nicobar Islands,56059,0,3774
27-09-2020,Andaman and Nicobar Islands,56661,0,3794
28-09-2020,Andaman and Nicobar Islands,57343,0,3803
29-09-2020,Andaman and Nicobar Islands,58135,0,3821
30-09-2020,Andaman and Nicobar Islands,58763,0,3835
01-10-2020,Andaman and Nicobar Islands,59676,0,3848
02-10-2020,Andaman and Nicobar Islands,60437,0,3858
03-10-2020,Andaman and Nicobar Islands,61231,0,3868
04-10-2020,Andaman and Nicobar Islands,62103,0,3884
05-10-2020,Andaman and Nicobar Islands,63009,0,3899
06-10-2020,Andaman and Nicobar Islands,63790,0,3912
07-10-2020,Andaman and Nicobar Islands,65111,0,3935
08-10-2020,Andaman and Nicobar Islands,66244,0,3952
09-10-2020,Andaman and Nicobar Islands,67332,0,3976
10-10-2020,Andaman and Nicobar Islands,68464,0,3992
11-10-2020,Andaman and Nicobar Islands,69146,0,4005
12-10-2020,Andaman and Nicobar Islands,69932,0,4023
13-10-2020,Andaman and Nicobar Islands,70780,0,4036
14-10-2020,Andaman and Nicobar Islands,71624,0,4046
15-10-2020,Andaman and Nicobar Islands,72525,0,4062
16-10-2020,Andaman and Nicobar Islands,73363,0,4072
17-10-2020,Andaman and Nicobar Islands,74277,0,4083
18-10-2020,Andaman and Nicobar Islands,75030,0,4108
19-10-2020,Andaman and Nicobar Islands,75977,0,4126
20-10-2020,Andaman and Nicobar Islands,77200,0,4141
21-10-2020,Andaman and Nicobar Islands,78303,0,4168
22-10-2020,Andaman and Nicobar Islands,79301,0,4184
23-10-2020,Andaman and Nicobar Islands,80768,0,4207
24-10-2020,Andaman and Nicobar Islands,81880,0,4225
25-10-2020,Andaman and Nicobar Islands,82626,0,4245
26-10-2020,Andaman and Nicobar Islands,83115,0,4253
27-10-2020,Andaman and Nicobar Islands,84308,0,4274
28-10-2020,Andaman and Nicobar Islands,85378,0,4289
29-10-2020,Andaman and Nicobar Islands,86715,0,4305
30-10-2020,Andaman and Nicobar Islands,87789,0,4317
31-10-2020,Andaman and Nicobar Islands,88453,0,4332
01-11-2020,Andaman and Nicobar Islands,89559,0,4340
02-11-2020,Andaman and Nicobar Islands,90901,0,4352
03-11-2020,Andaman and Nicobar Islands,92249,0,4372
04-11-2020,Andaman and Nicobar Islands,93406,0,4389
05-11-2020,Andaman and Nicobar Islands,94639,0,4403
06-11-2020,Andaman and Nicobar Islands,96214,0,4420
07-11-2020,Andaman and Nicobar Islands,97603,0,4441
08-11-2020,Andaman and Nicobar Islands,98812,0,4450
09-11-2020,Andaman and Nicobar Islands,100025,0,4463
10-11-2020,Andaman and Nicobar Islands,101226,0,4477
11-11-2020,Andaman and Nicobar Islands,102433,0,4494
12-11-2020,Andaman and Nicobar Islands,103599,0,4507
13-11-2020,Andaman and Nicobar Islands,104785,0,4518
14-11-2020,Andaman and Nicobar Islands,105699,0,4527
15-11-2020,Andaman and Nicobar Islands,106734,0,4536
16-11-2020,Andaman and Nicobar Islands,108080,0,4557
17-11-2020,Andaman and Nicobar Islands,109646,0,4574
18-11-2020,Andaman and Nicobar Islands,111166,0,4593
19-11-2020,Andaman and Nicobar Islands,112792,0,4604
20-11-2020,Andaman and Nicobar Islands,114392,0,4617
21-11-2020,Andaman and Nicobar Islands,115968,0,4631
22-11-2020,Andaman and Nicobar Islands,117093,0,4641
23-11-2020,Andaman and Nicobar Islands,118654,0,4656
24-11-2020,Andaman and Nicobar Islands,120324,0,4667
25-11-2020,Andaman and Nicobar Islands,121931,0,4677
26-11-2020,Andaman and Nicobar Islands,123165,0,4682
27-11-2020,Andaman and Nicobar Islands,124832,0,4689
28-11-2020,Andaman and Nicobar Islands,126331,0,4698
29-11-2020,Andaman and Nicobar Islands,127912,0,4704
30-11-2020,Andaman and Nicobar Islands,129389,0,4710
01-12-2020,Andaman and Nicobar Islands,131080,0,4718
02-12-2020,Andaman and Nicobar Islands,132784,0,4723
03-12-2020,Andaman and Nicobar Islands,134355,0,4729
04-12-2020,Andaman and Nicobar Islands,135952,0,4742
05-12-2020,Andaman and Nicobar Islands,137648,0,4747
06-12-2020,Andaman and Nicobar Islands,139326,0,4758
07-12-2020,Andaman and Nicobar Islands,140961,0,4773
08-12-2020,Andaman and Nicobar Islands,142667,0,4778
09-12-2020,Andaman and Nicobar Islands,144401,0,4783
10-12-2020,Andaman and Nicobar Islands,146143,0,4791
11-12-2020,Andaman and Nicobar Islands,147806,0,4798
12-12-2020,Andaman and Nicobar Islands,149926,0,4805
13-12-2020,Andaman and Nicobar Islands,152004,0,4818
14-12-2020,Andaman and Nicobar Islands,153685,0,4834
15-12-2020,Andaman and Nicobar Islands,155454,0,4842
16-12-2020,Andaman and Nicobar Islands,157242,0,4850
17-12-2020,Andaman and Nicobar Islands,159027,0,4860
18-12-2020,Andaman and Nicobar Islands,160856,0,4869
19-12-2020,Andaman and Nicobar Islands,162821,0,4875
20-12-2020,Andaman and Nicobar Islands,165024,0,4881
21-12-2020,Andaman and Nicobar Islands,166845,0,4888
22-12-2020,Andaman and Nicobar Islands,168769,0,4893
23-12-2020,Andaman and Nicobar Islands,170666,0,4896
24-12-2020,Andaman and Nicobar Islands,172756,0,4901
25-12-2020,Andaman and Nicobar Islands,174482,0,4912
26-12-2020,Andaman and Nicobar Islands,175578,0,4912
27-12-2020,Andaman and Nicobar Islands,176898,0,4924
28-12-2020,Andaman and Nicobar Islands,177926,0,4929
29-12-2020,Andaman and Nicobar Islands,179444,0,4936
30-12-2020,Andaman and Nicobar Islands,180626,0,4941
31-12-2020,Andaman and Nicobar Islands,181640,0,4945
01-01-2021,Andaman and Nicobar Islands,182631,0,4946
02-01-2021,Andaman and Nicobar Islands,183725,0,4947
03-01-2021,Andaman and Nicobar Islands,184955,0,4948
04-01-2021,Andaman and Nicobar Islands,186140,0,4948
05-01-2021,Andaman and Nicobar Islands,187115,0,4949
06-01-2021,Andaman and Nicobar Islands,188351,0,4949
07-01-2021,Andaman and Nicobar Islands,190031,0,4958
08-01-2021,Andaman and Nicobar Islands,191206,0,4959
09-01-2021,Andaman and Nicobar Islands,192560,0,4959
10-01-2021,Andaman and Nicobar Islands,193719,0,4960
