Election_id,State_id,Constituency,Candidate_name,Party,EVM_Votes,Postal _Votes,Total _Votes,Percentage_Votes,Result
1793,Haryana,BHIWANI1000MAHENDRAGARH,RAO DAN SINGH,Indian National Congress,541926,5228,547154,46.24,Lost
1794,Haryana,BHIWANI1000MAHENDRAGARH,BAHADUR SINGH,Jannayak Janta Party,15076,189,15265,1.29,Lost
1795,Haryana,BHIWANI1000MAHENDRAGARH,SUNIL KUMAR SHARMA,Bahujan Samaj Party,6239,97,6336,0.54,Lost
1796,Haryana,BHIWANI1000MAHENDRAGARH,SUBHASH,Rashtrawadi Janlok Party (Satya),4663,32,4695,0.4,Lost
1797,Haryana,BHIWANI1000MAHENDRAGARH,HEMANT,Independent,3876,5,3881,0.33,Lost
1798,Haryana,BHIWANI1000MAHENDRAGARH,SEEMA,Independent,2961,18,2979,0.25,Lost
1799,Haryana,BHIWANI1000MAHENDRAGARH,VED PRAKASH,Independent,1897,3,1900,0.16,Lost
1800,Haryana,BHIWANI1000MAHENDRAGARH,ANAND KUMAR,Bharatheeya Jawan Kisan Party,1642,26,1668,0.14,Lost
1801,Haryana,BHIWANI1000MAHENDRAGARH,YOGBIR SINGH,Independent,1473,5,1478,0.12,Lost
1802,Haryana,BHIWANI1000MAHENDRAGARH,VARSHA,Independent,993,60,1053,0.09,Lost
1803,Haryana,BHIWANI1000MAHENDRAGARH,BALWAN,Peoples Party of India (Democratic),854,3,857,0.07,Lost
1804,Haryana,BHIWANI1000MAHENDRAGARH,ROHTASH,Socialist Unity Centre Of India (COMMUNIST),637,3,640,0.05,Lost
1805,Haryana,BHIWANI1000MAHENDRAGARH,JAI SINGH,Independent,442,9,451,0.04,Lost
1806,Haryana,BHIWANI1000MAHENDRAGARH,BHARAT BHUSHAN,Bhartiya Shakti Chetna Party,440,3,443,0.04,Lost
1807,Haryana,BHIWANI1000MAHENDRAGARH,ENGINEER MAHAVIR SINGH YADAV,Independent,406,9,415,0.04,Lost
1808,Haryana,BHIWANI1000MAHENDRAGARH,JAGDISH,Independent,219,10,229,0.02,Lost
1809,Haryana,BHIWANI1000MAHENDRAGARH,NOTA,None of the Above,5188,99,5287,0.45,Lost
1810,Haryana,FARIDABAD,KRISHAN PAL,Bharatiya Janata Party,787332,1237,788569,53.6,Won
1811,Haryana,FARIDABAD,MAHENDER PRATAP SINGH,Indian National Congress,614908,747,615655,41.84,Lost
1812,Haryana,FARIDABAD,KISHAN THAKUR,Bahujan Samaj Party,25164,42,25206,1.71,Lost
1813,Haryana,FARIDABAD,SUNIL TEWATIA,Indian National Lok Dal,8057,28,8085,0.55,Lost
1814,Haryana,FARIDABAD,NALIN HOODA,Jannayak Janta Party,5335,26,5361,0.36,Lost
1815,Haryana,FARIDABAD,SAWATANTAR SINGH CHAUHAN,Jan Shakti Dal,2951,4,2955,0.2,Lost
1816,Haryana,FARIDABAD,NEERAJ JATAV,Independent,2104,4,2108,0.14,Lost
1817,Haryana,FARIDABAD,HARI SHANKER RAJVANS,Adim Bhartiya Dal,1584,1000,1584,0.11,Lost
1818,Haryana,FARIDABAD,ATUL,Independent,1456,2,1458,0.1,Lost
1819,Haryana,FARIDABAD,PANDIT SUMIT KUMAR SHARMA,AARAKSHAN VIRODHI PARTY,1439,5,1444,0.1,Lost
1820,Haryana,FARIDABAD,BRIJABALA,Peoples Party of India (Democratic),1370,10,1380,0.09,Lost
1821,Haryana,FARIDABAD,SHYAM SUNDER SINGH,Bhartiya Shakti Chetna Party,1247,1000,1247,0.08,Lost
